filename,depth_gt_mm,depth_rs_mm,T_mm,H_mm,W_mm,mass,thickness_px,height_px,thickness_mm_est,height_mm_est,
book_20260214_160057.png,380,383.0000162,24.3,227,154,378,56,534,23.55970956,225.1810658,
book_20260214_160232.png,383,385.0000203,25.5,185,118,418,58,438,24.52854904,185.6635644,
book_20260214_160335.png,385,389.0000284,23,198,130,259,55,465,23.50149205,199.156464,
book_20260214_160445.png,382,387.0000243,35.4,233,153,553,81,551,34.43333787,234.7763855,
book_20260214_160548.png,382,384.0000033,29.1,215,136,401,75,510,31.63556567,215.622077,
book_20260214_160705.png,381,384.0000033,24.9,185,110.5,402,55,438,23.19941482,185.1813132,
book_20260214_160816.png,380,383.0000162,30.5,234,153,484,72,552,30.29105515,232.7714388,
book_20260214_160934.png,380,384.0000033,34,185,127,405,85,442,35.85364109,186.8724667,
book_20260214_161041.png,372,376.0000169,18.6,203,140.5,272,52,489,21.47703481,202.4363716,
book_20260214_161153.png,379,382.0000291,31.8,233,153,521,57,548,23.91780741,230.4813427,
book_20260214_161315.png,379,381.0000122,14.7,215.5,156,536,47,516,19.67007248,216.4544467,
book_20260214_161409.png,381,384.0000033,16.2,197,131,184,44,467,18.55953186,197.4421764,
book_20260214_161524.png,376,379.0000081,41,233.5,157,728,90,559,37.46837356,233.261384,
book_20260214_161639.png,377,379.0000081,29.1,197,127,322,70,468,29.14206833,195.2886005,
book_20260214_161807.png,380,382.0000291,10.8,203,127,175,35,479,14.68637297,201.4608817,
book_20260214_161913.png,370,372.0000088,30.2,222.5,147,461,66,544,26.96932014,222.8094829,
book_20260214_162033.png,368,372.0000088,33.1,229.5,153,573,82,560,33.50733714,229.362703,
book_20260214_162130.png,374,376.0000169,29.3,235,158,552,66,567,27.25931341,234.7268358,
book_20260214_162326.png,384,386.0000074,34,242,157,781,81,570,34.34436134,242.2445358,
book_20260214_162451.png,387,388.0000114,32.6,187.5,125,495,73,440,31.11270072,187.964674,
book_20260214_162602.png,387,389.0000284,46.6,198.5,129,507,113,473,48.28488366,202.5828118,
book_20260214_162703.png,382,386.0000074,29.3,234,156,500,67,541,28.40829888,229.9198138,
book_20260422_105919.png,390,393.0000067,16,252,202,773,45,582,19.4262147,251.8299408,
book_20260422_110427.png,389,390.0000155,15.6,241,166,433,38,567,16.27913534,243.4666635,
book_20260422_115155.png,397,399.0000188,25,252,177,756,57,576,24.98221173,253.038859,
book_20260422_115324.png,396,397.0000148,30.5,246,190,1050,69,561,30.09003733,245.213968,
book_20260422_115422.png,397,398.0000317,30,245.5,190,952,70,562,30.60301813,246.2698485,
book_20260422_115525.png,398,401.0000229,35,240,191,1555,71,547,31.19618254,240.9012972,
book_20260422_115625.png,396,398.0000317,42,241,192,1618,95,554,41.53266746,242.7642278,
book_20260422_115751.png,396,398.0000317,29.8,282,220,1777,68,648,29.72864618,283.9552701,
book_20260422_120437.png,396,398.0000317,15.6,231,186,592,35,524,15.30150906,229.6181505,
book_20260422_120548.png,388,389.0000284,17,234,185,525,41,547,17.51929407,234.2765286,
book_20260422_120706.png,397,398.0000317,62,251,174,1446,140,585,61.20603625,256.3485077,
book_20260422_120852.png,397,398.0000317,20.5,254,204,955,46,576,20.11055477,252.4046845,
book_20260422_121054.png,385,385.0000203,20,230,180,592,46,532,19.45367683,225.5091695,
book_20260422_121143.png,390,390.0000155,11.2,203,139,231,30,474,12.85194895,203.5329779,
book_20260422_121235.png,400,404.0000141,28.2,259,182,934,63,588,27.68111972,258.9578844,
book_20260422_121357.png,388,388.0000114,27.2,235,158,728,62,553,26.42448554,236.2374198,
book_20260422_121700.png,390,391.0000324,32.5,239,159,777,73,554,31.35326451,238.494506,
book_20260422_121812.png,400,402.00001,29.8,258,208,1350,66,584,28.99926828,257.1962661,
book_20260422_121908.png,395,396.0000277,19.8,240,165,492,48,550,20.87947462,239.8003025,
book_20260422_122018.png,396,397.0000148,28.5,241,162,828,67,551,29.21786233,240.8429526,
book_20260422_122120.png,396,396.0000277,16.8,235,192,755,44,544,19.1395184,237.1842992,
book_20260422_122308.png,390,391.0000324,31.5,242,192,1265,70,559,30.06477419,240.6469835,
book_20260422_122408.png,391,392.0000196,41,259,180,1528,94,601,40.47595041,259.3894938,
book_20260422_141820.png,397,398.0000317,22.5,238,193,878,49,541,21.42211269,237.0675943,
book_20260422_142018.png,380,380.000025,11,241,165,289,34,581,14.19206708,243.0813158,
book_20260422_142118.png,396,397.0000148,22.5,235,152,578,53,541,23.11263737,236.4719371,
book_20260422_142225.png,394,395.0000107,17.6,245,188,764,47,567,20.3928572,246.5880278,
book_20260422_142339.png,396,397.0000148,47.2,254,173,1400,97,589,42.30048726,257.4528113,
book_20260422_142639.png,396,397.0000148,66.3,247,198,2673,148,566,64.54094963,247.3994758,
book_20260422_142750.png,397,398.0000317,32.2,245,190,1047,70,563,30.60301813,246.708051,
book_20260422_142846.png,396,396.0000277,28,209,147,655,61,479,26.53433233,208.8442635,
book_20260422_142936.png,395,395.0000107,34.5,205,152,744,81,470,35.14513688,204.4027744,
book_20260422_143036.png,396,396.0000277,30.9,217,140,696,71,500,30.88422287,218.000275,
book_20260422_143235.png,396,396.0000277,47,261,182,1653,105,598,45.67385073,260.7283289,
book_20260422_143340.png,396,396.0000277,36.2,258,206,1643,82,589,35.66910247,256.804324,
book_20260422_143445.png,397,397.0000148,28,246,188,1012,67,554,29.21786233,242.1542572,
book_20260422_143529.png,398,399.0000188,27,240,165,916,61,552,26.73534939,242.4955732,
book_20260422_143643.png,398,399.0000188,15,240,159,480,41,535,17.96966107,235.0274124,
book_20260422_143801.png,395,395.0000107,41,240,189,1511,90,551,39.05015209,239.6296355,
book_20260422_144118.png,398,398.0000317,34.7,239,191,1325,75,546,32.78894799,239.2586072,
book_20260422_144216.png,395,395.0000107,31.5,241,184,973,72,568,31.24012167,247.0229274,
book_20260422_144356.png,396,396.0000277,14.5,231,231,585,38,533,16.52958407,232.3882932,
book_20260422_144525.png,381,381.0000122,14.2,259.5,192,510,39,619,16.32197504,259.6614389,
book_20260422_144715.png,346,347.0000029,8.5,229.5,187,321,28,595,10.67260958,227.3203233,
book_20260422_144824.png,393,393.0000067,21.6,233,156,569,48,540,20.72129568,233.6566461,
book_20260422_144914.png,396,396.0000277,24,228,150,580,57,513,24.79437611,223.6682822,
book_20260422_145049.png,366,367.0000136,12.1,227.5,151,369,32,559,12.90028103,225.8758028,
book_20260422_145138.png,396,397.0000148,35,234.5,171,961,83,538,36.19526229,235.1606324,
book_20260422_145244.png,396,397.0000148,29,240,183,960,68,550,29.65394983,240.405851,
book_20260422_145350.png,398,398.0000317,46,228,153,1055,99,522,43.28141135,228.7417454,
book_20260422_145518.png,398,398.0000317,27,239,163,717,62,544,27.10553034,238.3822021,
book_20260422_145615.png,395,395.0000107,15.2,245,183,590,40,558,17.35562315,242.6739322,
book_20260422_150159.png,396,396.0000277,28.5,283,212,1400,63,651,27.40431044,283.8363581,
book_20260422_150336.png,397,397.0000148,34,242,194,1306,76,559,33.14264981,244.3397649,
book_20260422_150440.png,399,399.0000188,37.3,238,190,1421,84,549,36.81589096,241.1776624,
book_20260422_150551.png,397,397.0000148,23.5,235,159,626,53,539,23.11263737,235.597734,
book_20260422_153345.png,398,398.0000317,47.5,285,217,1980,104,659,45.46734122,288.7754985,
book_20260422_153518.png,395,395.0000107,36,259.5,209,1650,84,596,36.44680862,259.2001139,
book_20260422_153618.png,395,396.0000277,24.5,254,203,1296,59,580,25.66435422,252.880319,
book_20260422_153710.png,397,397.0000148,29,235,155,614,66,537,28.78177484,234.7235309,
book_20260422_153758.png,397,398.0000317,25.3,234,158,728,56,537,24.4824145,235.314784,
book_20260422_153835.png,398,399.0000188,28.8,241,192,1051,65,550,28.48848705,241.616966,
book_20260422_153921.png,398,398.0000317,18.5,240,166,550,45,548,19.6733688,240.1350124,
book_20260422_154012.png,398,398.0000317,16,233,157,429,42,529,18.36181088,231.8091634,
book_20260422_154056.png,398,398.0000317,25.5,234,155,697,56,537,24.4824145,235.314784,
book_20260422_154138.png,397,397.0000148,20.7,241,163,575,48,560,20.93219988,244.7768665,
book_20260422_154234.png,397,397.0000148,36.2,241.5,195,1161,84,552,36.63134979,241.2800541,
book_20260422_154323.png,398,398.0000317,27.5,257,180,994,63,585,27.54271631,256.3485077,
book_20260422_154407.png,398,398.0000317,29.4,241,163,820,65,557,28.41708826,244.0788356,
book_20260422_154500.png,400,400.000006,25.6,232,185,618,59,531,25.92358831,233.8548241,
book_20260422_154906.png,398,398.0000317,32.4,188,135,526,71,437,31.0402041,191.4945263,
book_20260424_134617.png,400,402.00001,18.2,177,108,245,44,399,19.33284552,175.7214215,
book_20260424_134748.png,399,400.000006,23,205,144,467,51,455,22.40852549,200.3840772,
book_20260424_135116.png,396,397.0000148,29.1,233,154,644,66,534,28.78177484,233.4122262,92.78449987
book_20260424_135229.png,398,398.0000317,38,214.5,143.5,662,80,491,34.97487786,215.1574655,93.91747799
book_20260424_135406.png,398,398.0000317,23.5,206,148,424,51,465,22.29648464,203.7641985,90.69112203
book_20260424_135502.png,398,399.0000188,13,226.5,152,337,35,516,15.33995457,226.6806445,90.91357446
book_20260424_135604.png,398,398.0000317,16.8,228.5,151,412,39,522,17.05025296,228.7417454,91.30746464
book_20260424_135703.png,400,400.000006,29,239,159,738,67,542,29.43865113,238.6992744,1.094239421
book_20260424_135822.png,399,400.000006,30.5,247,190,1043,70,561,30.75679969,247.0669611,90.7375878
book_20260424_135917.png,398,398.0000317,33,240,159,804,74,547,32.35176202,239.6968098,90.87120679
book_20260424_143041.png,399,400.000006,25.4,234.5,190,880,57,533,25.0448226,234.7356333,90.57777504
book_20260424_143213.png,398,398.0000317,31.5,234,177,947,71,534,31.0402041,234.0001763,90.72155052
book_20260424_143438.png,400,402.00001,20.5,228.5,152,390,48,521,21.09037693,229.4507785,91.45184117
book_20260424_143543.png,395,396.0000277,24.2,239,169,612,58,541,25.22936516,235.8762976,1.161745275
book_20260424_143642.png,399,399.0000188,21.4,213,147,540,48,479,21.03765198,210.4264122,91.48884031
book_20260424_143735.png,399,399.0000188,44.5,203,140,780,100,461,43.82844162,202.5189479,91.44544812
book_20260424_143830.png,398,398.0000317,17,244,155,396,40,555,17.48743893,243.2024304,90.65033897
book_20260424_143955.png,398,398.0000317,18.3,260,181,621,41,599,17.9246249,262.4833438,0.885617162
book_20260424_144057.png,400,401.0000229,53.5,234,160,1183,114,530,50.0896452,233.4144196,0.928114066
book_20260424_144150.png,400,400.000006,17.3,216,136,274,37,491,16.25716555,216.2386415,1.094057033
book_20260424_144312.png,399,399.0000188,46.5,282,219,2398,102,647,44.70501046,284.2294127,0.900095776
book_20260424_144433.png,400,400.000006,53.3,264,196,2586,108,599,47.45334809,263.8023346,0.842406771
book_20260424_144542.png,399,399.0000188,37,252,200,1293,79,571,34.62446888,250.8423411,91.41705502
book_20260424_144633.png,398,398.0000317,21.3,234,188,639,48,538,20.98492672,235.7529866,91.41730091
book_20260424_161524.png,357,357.0000231,15.2,233,154,364,41,594,16.07811808,233.4782934,-4.233067795
